property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,tulip violet,sector 69,1.46,9252.0,3.0,3,2,0.0,Relatively New,1503.0,0,0,0,0,0,2,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,signature global infinity mall,sector 36,0.41,6269.0,2.0,2,3,3.0,New Property,654.0,0,0,0,0,0,0,0,"28.4160° N, 76.9914° E",28.416,76.9914
flat,emaar mgf the palm drive,sector 66,3.5,15901.0,3.0,3,2,4.0,Relatively New,2200.0,0,0,0,0,0,0,89,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,the close north,sector 50,2.35,11227.0,3.0,3,3,8.0,Moderately old,2000.0,0,0,0,0,0,2,149,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,smart world orchard,sector 61,1.85,14800.0,2.0,2,2,3.0,New Property,1389.0,0,0,0,0,0,0,44,"28.4050° N, 77.0963° E",28.405,77.0963
flat,emaar mgf emerald floors premier,sector 65,3.5,17721.0,4.0,4,3,4.0,Relatively New,1975.1,0,0,0,0,0,2,114,"28.4030° N, 77.0690° E",28.403,77.069
house,independent,sector 53,4.0,17780.0,5.0,5,2,3.0,Relatively New,2250.0,1,0,0,0,0,0,23,"28.4433° N, 77.0948° E",28.4433,77.0948
house,international city by sobha phase 1,sector 109,5.5,22609.0,4.0,4,3+,2.0,New Property,2430.0,0,1,0,0,0,0,61,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,ireo victory valley,sector 67,2.95,12235.0,3.0,3,3,10.0,Relatively New,2207.0,0,0,0,0,0,2,174,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,adani brahma samsara vilasa,sector 63,4.49,14254.0,4.0,4,3+,3.0,New Property,3150.0,0,0,0,0,0,2,96,"28.3971° N, 77.0867° E",28.3971,77.0867
house,independent,sector 3,0.58,5800.0,2.0,3,2,2.0,Relatively New,1000.0,0,0,0,0,0,0,8,"28.4909° N, 77.0176° E",28.4909,77.0176
