property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category
flat,sector 71,0.55,2.0,2,1,Relatively New,600.0,0,0,2,Low,Mid Floor
flat,sector 37,2.08,4.0,4,3,New Property,2327.0,0,0,0,Medium,Low Floor
flat,sector 83,0.78,2.0,2,2,Relatively New,850.0,0,0,2,High,Mid Floor
flat,sector 89,0.85,2.0,2,2,New Property,1226.0,0,0,0,Low,Low Floor
flat,sector 28,0.95,2.0,1,1,Old Property,1188.0,0,0,0,Medium,Low Floor
house,sector 46,3.6,5.0,5,3+,Moderately old,1453.13,1,0,2,Medium,Mid Floor
flat,sector 107,1.2,3.0,3,3,Relatively New,1750.0,0,0,2,Low,Mid Floor
flat,sector 90,0.5,2.0,2,2,Relatively New,796.0,0,0,0,Low,Low Floor
flat,sector 70,1.4,2.0,2,2,Relatively New,1262.0,0,0,0,Low,High Floor
house,sector 47,1.15,3.0,3,3,Old Property,275.0,0,0,2,Low,Low Floor
flat,sector 90,1.21,3.0,3,3+,Relatively New,1664.0,0,0,0,Medium,High Floor
house,sector 104,1.95,3.0,5,3+,Moderately old,920.0,0,0,0,Medium,Low Floor
flat,sector 108,2.33,3.0,3,3,Relatively New,1711.0,0,0,2,High,High Floor
flat,sector 48,0.27,2.0,2,2,New Property,640.0,0,0,0,Low,Low Floor
flat,sector 43,6.0,4.0,4,2,Old Property,2667.0,0,0,2,Low,Low Floor
flat,sector 103,0.88,2.0,2,3,New Property,1296.0,0,0,0,Medium,Mid Floor
house,sector 4,0.55,2.0,1,1,Moderately old,75.0,0,0,0,Low,Low Floor
flat,sector 48,3.45,4.0,4,3+,Relatively New,3000.0,0,0,0,Low,Low Floor
house,sector 4,5.0,3.0,3,2,Old Property,4950.0,0,0,0,Low,Low Floor
house,sector 49,1.6,4.0,4,3,New Property,540.0,0,0,2,Low,Mid Floor
flat,sector 37,0.9,3.0,3,3,Relatively New,1435.0,0,0,0,Medium,Mid Floor
flat,sector 84,1.15,2.0,2,3,Relatively New,1430.0,0,0,0,Low,High Floor
flat,sector 82,1.6,4.0,5,3+,Relatively New,2310.0,0,0,0,Medium,Mid Floor
flat,sector 74,1.5,2.0,2,3,Relatively New,1300.0,0,0,0,High,High Floor
flat,sector 84,0.3,1.0,1,1,New Property,500.0,0,0,2,Low,High Floor
house,sector 11,0.78,1.0,4,0,Moderately old,891.0,0,0,0,Low,Mid Floor
