property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,Chimney,Modular Kitchen,Microwave,AC,Geyser,Bed,Light,Dining Table,Stove,Sofa,Water Purifier,Fridge,Curtains,Exhaust Fan,TV,Wardrobe,Fan,Washing Machine,furnishing_type,luxury_score
flat,dlf the arbour,sector 63,7.8,19747.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,0,6.0,,Undefined,,3950.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61
house,dlf city phase 1,sector 26,9.25,47803.0,1937.5,Plot area 1935(179.77 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),12,12,3+,4.0,North-East,New Property,,7000.0,,0,1,0,1,0,0,1,0,0,4,0,12,0,0,0,0,0,0,1,0,3,5,0,1,43
house,uppal southend,sector 49,6.75,290948.0,236.81,Plot area 232(21.55 sq.m.),12,12,3+,1.0,West,Moderately old,,232.0,,1,1,0,1,1,3,1,0,0,0,0,33,0,0,0,0,0,0,1,0,22,24,0,1,49
house,dlf city plots,sector 26,18.0,39841.0,4520.84,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,0,1,0,1,1,1,1,0,7,6,0,28,0,1,0,0,0,0,1,0,22,8,0,1,49
house,unitech uniworld resorts,sector 33,8.5,17820.0,4768.41,Plot area 530(443.15 sq.m.),5,5,3+,3.0,North,New Property,,4770.0,,1,1,1,1,0,1,1,0,6,6,0,28,0,0,0,1,0,1,1,0,6,8,0,1,145
house,emaar mgf marbella,sector 66,19.0,31666.0,8998.62,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3+,3.0,North-East,Relatively New,,,6000.0,0,1,1,1,0,1,1,0,10,7,0,26,0,0,0,0,0,1,1,0,6,9,0,1,110
house,independent,sector 23,5.65,17706.0,3078.48,Plot area 342(285.96 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),7,7,3+,2.0,West,Moderately old,,5000.0,4000.0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,68
house,ansals palam vihar,sector 2,5.7,14729.0,3875.0,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),5,5,2,2.0,North-East,Old Property,,4550.0,4450.0,0,0,0,1,0,1,1,1,0,6,0,40,1,1,1,1,1,1,1,0,5,8,1,2,94
house,unitech aspen greens,sector 50,7.0,32407.0,2163.54,Plot area 240(200.67 sq.m.),4,4,2,2.0,East,Old Property,,2160.0,,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,29
house,independent,sector 27,8.25,45833.0,1894.45,Plot area 210(175.59 sq.m.)Built Up area: 205 sq.yards (171.41 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),12,12,3+,4.0,East,New Property,,205.0,200.0,0,1,0,1,0,1,1,0,0,4,0,16,0,1,0,1,0,0,1,0,6,4,0,1,40
flat,parsvnath exotica,sector 53,6.44,19000.0,3389.5,Super Built up area 3390(314.94 sq.m.),4,4,3,7.0,West,Moderately old,3390.0,,,0,0,0,0,0,1,0,0,7,5,0,9,0,1,0,0,0,1,1,0,0,9,0,1,80
flat,paras quartier,sector 59,5.9,11028.0,5350.0,Built Up area: 5350 (497.03 sq.m.),4,4,3+,0.0,,Moderately old,,5350.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63
house,independent,sector 50,6.5,21667.0,3003.13,Built Up area: 3000 (278.71 sq.m.),5,6,0,1.0,,Undefined,,3000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,sector 25,16.0,26667.0,5995.49,Built Up area: 6000 (557.42 sq.m.),6,5,2,3.0,East,Relatively New,,6000.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,sector 46,6.81,36911.0,1840.63,Plot area 205(171.41 sq.m.),12,14,3+,1.0,East,New Property,,1845.0,,0,1,0,0,1,4,1,0,0,13,0,23,0,0,0,0,0,0,1,0,14,15,0,1,40
