property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,vipul tatvam villa,sector 48,8.25,38194.0,2160.0,Plot area 350(292.64 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),4,4,3+,3.0,North-East,Relatively New,,300.0,240.0,0,1,1,0,0,1,160
house,uppal southend,sector 49,6.75,32328.0,2088.0,Plot area 232(193.98 sq.m.),12,12,3+,3.0,North,Moderately Old,,2088.0,,1,1,0,1,1,1,49
house,independent,sector 48,8.4,25926.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3,2.0,,Old Property,,3240.0,,0,1,0,1,0,1,15
house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,35000.0,9000.0,Plot area 1000(836.13 sq.m.),7,9,3+,3.0,North-East,Moderately Old,,9000.0,,1,1,1,1,0,2,74
house,unitech espace,sector 50,10.3,31790.0,3240.0,Plot area 360(301.01 sq.m.),5,6,3+,3.0,East,Moderately Old,,3240.0,,1,1,1,1,0,1,160
house,independent,sector 25,10.5,29022.0,3618.0,Plot area 402(336.12 sq.m.),5,5,3,3.0,East,Moderately Old,,3618.0,,1,1,0,1,0,0,42
house,dlf city plots,sector 26,18.0,39841.0,4518.0,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,0,1,0,1,1,1,49
house,independent,sector 4,70.0,6648.0,105295.0,Built Up area: 117 (97.83 sq.m.),3,3,0,1.0,,Undefined,,117.0,,0,0,0,0,0,0,0
house,independent,sector 82,7.5,23148.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,2.0,East,Relatively New,,3240.0,,0,1,0,1,0,1,135
flat,dlf park place,sector 54,6.75,24963.0,2704.0,Super Built up area 2704(251.21 sq.m.)Carpet area: 1534 sq.ft. (142.51 sq.m.),4,4,2,8.0,North,Moderately Old,2704.0,,1534.0,0,0,0,0,0,2,135
house,independent,sector 43,7.5,38760.0,1935.0,Plot area 215(179.77 sq.m.),12,12,3+,4.0,East,New Property,,1935.0,,1,1,1,1,0,1,72
house,independent,sector 43,9.85,29638.0,3323.0,Plot area 418(349.5 sq.m.),5,5,2,3.0,West,Old Property,,418.0,,1,1,0,1,0,0,21
house,independent,sector 104,30.0,60000.0,5000.0,Plot area 50(4.65 sq.m.),6,3,3,3.0,South,Moderately Old,,50.0,,0,0,0,0,0,0,0
house,nul,sector 25,15.0,23437.0,6400.0,Built Up area: 6400 (594.58 sq.m.),5,5,3,2.0,West,Moderately Old,,6400.0,,1,1,0,1,0,1,112
house,independent,sector 4,92.0,15257.0,60300.0,Plot area 67(56.02 sq.m.),4,4,3,4.0,East,Moderately Old,,67.0,,0,0,0,0,1,0,0
house,unitech uniworld resorts,sector 33,11.0,26667.0,4125.0,Plot area 500(418.06 sq.m.),5,6,3,3.0,,New Property,,500.0,,1,1,0,0,0,0,58
house,international city by sobha phase 2,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),5,5,3+,2.0,South,Relatively New,,3600.0,,1,1,1,1,0,0,133
house,independent,sector 26,15.0,33333.0,4500.0,Built Up area: 4500 (418.06 sq.m.),4,4,3,3.0,,Moderately Old,,4500.0,,0,1,1,0,0,1,36
flat,.,sector 59,7.0,11000.0,6363.6,Super Built up area 6000(557.42 sq.m.),4,4,3+,6.0,South-West,Relatively New,6000.0,,,0,0,0,0,0,0,52
house,independent,sector 39,7.0,10000.0,7000.0,Plot area 350(32.52 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),10,11,3+,4.0,South-East,Relatively New,,7000.0,,0,0,0,1,0,1,38
house,independent,sector 25,9.0,28490.0,3159.0,Plot area 351(293.48 sq.m.),10,10,3,3.0,East,Old Property,,3159.0,,0,0,0,1,0,1,64
house,rattan garden,sector 7,83.0,17584.0,47202.0,Carpet area: 472 (43.85 sq.m.),5,3,2,3.0,East,Undefined,,,472.0,0,0,0,0,0,0,0
