property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 2,5.7,22634.0,2432.64,Plot area 270(225.75 sq.m.),9,9,3+,3.0,North-East,Moderately old,,2430.0,,0,0,0,1,0,2,0
house,independent,sector 43,13.5,50000.0,2701.74,Plot area 300(250.84 sq.m.),16,16,3+,4.0,North-West,Relatively New,,2700.0,,1,1,0,1,1,0,41
house,suncity township,sector 54,25.0,31111.0,8998.62,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,North,Moderately old,,9000.0,,1,1,1,1,0,0,0
house,project housing board colony,sector 31,8.0,63492.0,1259.38,Built Up area: 140 (117.06 sq.m.),2,1,0,1.0,,Undefined,,140.0,,0,0,0,0,0,0,0
house,independent,sector 43,14.0,39886.0,3509.03,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately old,,3510.0,,0,1,0,0,0,0,7
house,emaar mgf marbella,sector 66,12.0,38095.0,3153.82,Plot area 350(292.64 sq.m.),5,6,3+,4.0,North-East,New Property,,3150.0,,0,1,0,1,0,0,38
house,ansals florence villa,sector 57,6.0,22222.0,2701.74,Plot area 300(250.84 sq.m.),4,5,2,2.0,,Old Property,,2700.0,,0,1,0,1,0,2,20
house,independent,sector 26,18.0,39841.0,4520.84,Plot area 502(419.74 sq.m.),5,4,3+,4.0,North,Moderately old,,4518.0,,1,1,1,1,0,2,113
house,independent,sector 50,12.5,40611.0,3078.48,Plot area 342(285.96 sq.m.),6,5,3,4.0,East,Moderately old,,3078.0,,1,1,0,1,0,2,23
house,ss aaron ville,sector 49,6.75,19737.0,3422.92,Plot area 380(317.73 sq.m.),5,4,2,2.0,North,Old Property,,3420.0,,1,1,1,0,0,0,78
flat,unitech vistas,sector 70,9.0,57507.0,1565.0,Built Up area: 1565 (145.39 sq.m.),3,3,0,7.0,,Undefined,,1565.0,,0,0,0,0,0,0,0
flat,parsvnath exotica,sector 53,6.5,19174.0,3390.0,Super Built up area 3390(314.94 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,10.0,South,Relatively New,3390.0,3000.0,2500.0,0,0,0,0,0,2,174
house,independent,sector 23,5.5,21825.0,2518.75,Plot area 280(234.12 sq.m.),8,8,2,3.0,East,Moderately old,,2520.0,,1,1,0,1,0,2,76
flat,pioneer araya,sector 62,9.95,20995.0,4739.2,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4,6,3,12.0,South-East,Relatively New,4739.0,,3219.0,0,0,0,0,0,2,138
house,unitech nirvana birch court,sector 50,6.8,31481.0,2163.54,Plot area 240(200.67 sq.m.),4,4,3+,2.0,South-East,Old Property,,2160.0,,1,1,0,1,0,0,105
house,international city by sobha phase 1,sector 109,6.3,9000.0,6996.54,Built Up area: 7000 (650.32 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),4,5,3+,2.0,West,Relatively New,,7000.0,4500.0,0,0,0,0,0,2,122
house,unitech espace,sector 50,10.45,32253.0,3239.93,Plot area 360(301.01 sq.m.),5,7,3+,3.0,,Moderately old,,3240.0,,1,1,0,1,1,2,153
flat,tulip monsella,sector 53,7.4,33198.0,2229.0,Carpet area: 2229 (207.08 sq.m.),4,4,3,21.0,,Undefined,,,2229.0,0,0,0,0,0,0,35
house,uppal southend,sector 49,6.75,290948.0,236.81,Plot area 232(21.55 sq.m.),12,12,3+,1.0,West,Moderately old,,232.0,,1,1,0,1,1,2,49
house,nirvana cedar crest,sector 50,7.1,32870.0,2163.54,Plot area 240(200.67 sq.m.)Built Up area: 239 sq.yards (199.83 sq.m.)Carpet area: 238 sq.yards (199 sq.m.),5,4,3,2.0,East,Moderately old,,239.0,238.0,1,0,1,1,0,2,110
house,satya the legend,sector 57,9.25,16577.0,5780.21,Plot area 642(536.79 sq.m.)Built Up area: 630 sq.yards (526.76 sq.m.)Carpet area: 620 sq.yards (518.4 sq.m.),5,5,3+,4.0,North-East,Relatively New,,630.0,620.0,1,1,1,1,0,2,160
house,independent,sector 57,6.95,38611.0,1732.99,Plot area 192(160.54 sq.m.),12,12,3+,4.0,East,New Property,,1728.0,,0,1,1,0,0,2,73
flat,mm golfestate,sector 65,5.9,17484.0,3374.5,Super Built up area 3363(312.43 sq.m.),3,3,3,18.0,North,Relatively New,3363.0,,,0,0,0,0,0,0,76
flat,the penthouses at the hibiscus,sector 50,8.5,8500.0,10000.0,Carpet area: 10000 (929.03 sq.m.),4,4,3,9.0,South-East,Moderately old,,,10000.0,0,0,0,0,0,0,35
house,independent,sector 26,10.5,43210.0,2723.27,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 270 sq.yards (225.75 sq.m.),12,12,3+,4.0,North-East,Relatively New,,300.0,270.0,0,1,0,1,0,2,72
house,independent,sector 13,9.0,100000.0,904.17,Plot area 900(83.61 sq.m.),10,5,3+,4.0,,Old Property,,900.0,,0,0,0,0,0,0,0
house,independent,sector 17,8.5,18814.0,4520.84,Plot area 502(419.74 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.)Carpet area: 400 sq.yards (334.45 sq.m.),4,4,2,2.0,West,Old Property,,500.0,400.0,1,1,0,1,0,2,21
flat,mahindra luminare,sector 59,5.5,18181.0,3025.1,Super Built up area 3025(281.03 sq.m.),3,3,1,26.0,,Undefined,3025.0,,,0,0,0,0,0,0,24
house,luxury dlf city floors,sector 26,8.25,45833.0,1797.57,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,New Property,,1800.0,,0,1,0,0,0,2,105
house,independent,sector 7,6.5,15046.0,4316.32,Plot area 480(401.34 sq.m.),3,2,3+,1.0,,Old Property,,4320.0,,0,0,0,0,0,0,9
flat,experion windchants,sector 112,5.6,11529.0,4857.3,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Moderately old,4857.0,3662.34,,0,0,0,0,0,2,157
